Station,Fee,Category,Partner,Network,Total,Special Fee,Notes
107.5 3TR FM (Warminster) ,40,Local & Regional,,ILR FM,,,
Trax FM (Bassetlaw & Doncaster) ,40,Local & Regional,,ILR FM,,,
96 Trent FM/ ,40,Local & Regional,Gold AM (Nottinghamshire & Derby),ILR FM,,60,
Two Lochs Radio (2LR) AM,40,Local & Regional,,ILR AM,,,
U 105 FM,40,Local & Regional,,ILR FM,,,
97.4 Vale FM ,40,Local & Regional,,ILR FM,,,
Valleys Radio AM,40,Local & Regional,,ILR AM,,,
Vibe 101 FM (Severn Estuary) ,40,Local & Regional,,ILR FM,,,
Vibe 105-108 FM (East if England) ,50,Local & Regional,,ILR FM,,,
96.9 Viking FM/ ,40,Local & Regional,"Magic 1161AM (Humberside, E.Yorks & Lincs)",ILR FM,,60,
Virgin 105.8 FM (London only) ,55,Local & Regional,,ILR FM,,,
Swansea Sound AM,40,Local & Regional,96.4 FM The Wave/ ,ILR AM,,60,
Radio Wave 96.5 FM (Blackpool) ,40,Local & Regional,,ILR FM,,,
96.4 FM The Wave/ ,40,Local & Regional,Swansea Sound AM,ILR FM,,60,
Wave 102 FM (Dundee) ,40,Local & Regional,,ILR FM,,,
Wave 105.2 FM (Solent Regional) ,50,Local & Regional,,ILR FM,,,
Waves Radio 101.2 FM (Peterhead) ,40,Local & Regional,,ILR FM,,,
Wessex FM ,40,Local & Regional,,ILR FM,,,
West FM 96.7/ ,40,Local & Regional,West Sound 1035 AM ,ILR FM,,60,
West Sound 1035 AM ,40,Local & Regional,West FM 96.7/ ,ILR AM,,60,
107.2 Win FM (Winchester) ,40,Local & Regional,,ILR FM,,,
"107.2 Wire FM (Warrington, Widnes & Runcorn)",40,Local & Regional,,ILR FM,,,
102.4 Wish FM ,40,Local & Regional,,ILR FM,,,
107.7 FM The Wolf ,40,Local & Regional,,ILR FM,,,
107.2 The Wyre (Kidderminster),40,Local & Regional,,ILR FM,,,
Wyvern FM ,40,Local & Regional,,ILR FM,,,
XFM (London) ,55,Local & Regional,,ILR FM,,,
XFM (Manchester),50,Local & Regional,,ILR FM,,,
Radio XL 1296 AM ,40,Local & Regional,,ILR AM,,,
Yorkshire Coast Radio FM - Bridlington's Best ,40,Local & Regional,,ILR FM,,,
Yorkshire Coast Radio FM - Scarborough ,40,Local & Regional,,ILR FM,,,
"103 & 106.9 YOURradio (Dumbarton, Helensburgh, Argyll & Bute) (prev Castle Rock FM 103) ",40,Local & Regional,,ILR FM,,,
AA Roadwatch ,750,National and News,,,,,
Absolute Radio (prev. Virgin Radio 1215 AM),450,National and News,,,,,
Absolute Radio (prev. Virgin Radio 1215 AM) Any single macro,150,National and News,,,,,
Bloomberg News Network ,750,National and News,,,,,
Classic FM ,450,National and News,,,,,
Classic FM England & Wales only ,300,National and News,,,,,
Classic FM Scotland & N Ireland only ,300,National and News,,,,,
Classic FM Any single macro,150,National and News,,,,,
Drivetime,1450,National and News,,,,,
Entertainment News ,750,National and News,,,,,
Hit40UK / Big Top 40 (Not to be confused with The Hits),750,National and News,,,,,
Independent Radio News (IRN) ,750,National and News,,,,,
Network Drive - please ask agent for details,,,,,,,
Network News,750,National and News,,,,,
News Link ,750,National and News,,,,,
RTE Radio 1 (prev. TEAMtalk 252 LW) ,400,National and News,,,,,
Sky News ,400,National and News,,,,,
Smash Hits (News Service),750,National and News,,,,,
The Source ,750,National and News,,,,,
talkSPORT ,450,National and News,,,,,
talk SPORT Any single macro region ,150,National and News,,,,,
Trafficlink ,750,National and News,,,,,
96 FM,40,Irish and ROI,,,,,
98 FM,40,Irish and ROI,,,,,
FM 104,40,Irish and ROI,,,,,
4 FM,55,Irish and ROI,,,,,
Beat,40,Irish and ROI,,,,,
Clare,40,Irish and ROI,,,,,
RTE Cork,40,Irish and ROI,,,,,
County Sound,40,Irish and ROI,,,,,
Dublin’s Country,40,Irish and ROI,,,,,
East Coast,40,Irish and ROI,,,,,
Galway Bay,40,Irish and ROI,,,,,
Highland,40,Irish and ROI,,,,,
i102-104,40,Irish and ROI,,,,,
KCLR/Carlow,40,Irish and ROI,,,,,
Kerry,40,Irish and ROI,,,,,
KFM,40,Irish and ROI,,,,,
Limerick,40,Irish and ROI,,,,,
Lite FM,40,Irish and ROI,,,,,
Live 95/Limerich,40,Irish and ROI,,,,,
LMFM,40,Irish and ROI,,,,,
Lyric,55,Irish and ROI,,,,,
Midland 103/Radio 3,40,Irish and ROI,,,,,
Midwest,40,Irish and ROI,,,,,
Northern Sound,40,Irish and ROI,,,,,
Ocean,40,Irish and ROI,,,,,
Q102,40,Irish and ROI,,,,,
Red,40,Irish and ROI,,,,,
Shannonside 104,40,Irish and ROI,,,,,
South East,40,Irish and ROI,,,,,
Spin,40,Irish and ROI,,,,,
Spin 1038,40,Irish and ROI,,,,,
Star 106,40,Irish and ROI,,,,,
Tipp FM,40,Irish and ROI,,,,,
Today FM,55,Irish and ROI,,,,,
WLR,40,Irish and ROI,,,,,
WLR/Waterford,40,Irish and ROI,,,,,
RTE Radio 1 International,400,Irish and ROI,,,,,
RTE Radio 1 Eire Only,100,Irish and ROI,,,,,
RTE 2,100,Irish and ROI,,,,,
Phantom,100,Irish and ROI,,,,,
A Plus DAB Only        ,150 ,DAB Only,,,,,
Absolute Radio Classic Rock DAB Only,150 ,DAB Only,,,,,
Absolute Radio Xtreme DAB Only,55 ,DAB Only,,,,,
Amazing Radio DAB Only,150 ,DAB Only,,,,,
AsianFX DAB Only,150 ,DAB Only,,,,,
BFBS DAB Only,150 ,DAB Only,,,,,
Chill DAB Only,150 ,DAB Only,,,,,
Colourful Radio DAB Only,150 ,DAB Only,,,,,
Fun (referred to just as ‘Fun’ in DRDB) DAB Only,55 ,DAB Only,,,,,
Gaydar DAB Only,150 ,DAB Only,,,,,
Heat DAB Only                           ,150 ,DAB Only,,,,,
Jazz FM DAB Only          ,150 ,DAB Only,,,,,
Masti Radio DAB Only,150 ,DAB Only,,,,,
NME Radio DAB Only,150 ,DAB Only,,,,,
Our Kind of Music DAB Only,150 ,DAB Only,,,,,
Panjab Radio DAB Only,55 ,DAB Only,,,,,
Passion for the Planet DAB Only,100 ,DAB Only,,,,,
Planet Rock DAB Only,150 ,DAB Only,,,,,
Polish Radio DAB Only,150 ,DAB Only,,,,,
Punjabi Radio DAB Only,150 ,DAB Only,,,,,
Q Radio DAB Only,150 ,DAB Only,,,,,
Rainbow Radio DAB Only,150 ,DAB Only,,,,,
Smash Hits (London only) DAB Only,150 ,DAB Only,,,,,
The Arrow DAB Only,150 ,DAB Only,,,,,
The Hits (London only) DAB Only,150 ,DAB Only,,,,,
Traffic Radio DAB Only,150 ,DAB Only,,,,,
UCB Inspirational DAB Only ,150 ,DAB Only,,,,,
UCB UK DAB Only,150 ,DAB Only,,,,,
Yorkshire Radio DAB Only,50 ,DAB Only,,,,,
Absolute 80’s DAB,55,DAB,,,,,
Capital 95.8 DAB,55,DAB,,,,,
Choice FM DAB,150,DAB,,,,,
Dabbl DAB,55,DAB,,,,,
Galaxy DAB,150,DAB,,,,,
Gold DAB,150,DAB,,,,,
Heart DAB,150,DAB,,,,,
Kerrang DAB,150,DAB,,,,,
Kismat Radio DAB,55,DAB,,,,,
Kiss DAB,150,DAB,,,,,
LBC DAB,55,DAB,,,,,
Magic DAB,150,DAB,,,,,
Polish Radio DAB,55,DAB,,,,,
Smooth Radio DAB,150,DAB,,,,,
Sout-al-Khaleej (Voice of the Gulf) DAB,55,DAB,,,,,
Spectrum DAB,55,DAB,,,,,
Sunrise DAB,100,DAB,,,,,
XFM (London) DAB,55,DAB,,,,,
XFM (Manchester) DAB,50,DAB,,,,,
Xfm (National) DAB,150,DAB,,,,,
